,day,year,DIN,Temp,po4,sio4,Date,month
26,26,2011,15.97311438,6.600552222,0.58174,7.916192032,1/26/2011,1
27,27,2011,15.86267945,6.565497155,0.575566474,7.857936899,1/27/2011,1
28,28,2011,15.75226827,6.530899737,0.569398847,7.799705423,1/28/2011,1
29,29,2011,15.64188463,6.496812987,0.563237805,7.741500369,1/29/2011,1
30,30,2011,15.53153411,6.463292307,0.557084189,7.683325161,1/30/2011,1
31,31,2011,15.42122274,6.430393692,0.55093888,7.625183388,1/31/2011,1
32,32,2011,15.31095653,6.398173138,0.544802759,7.567078639,2/1/2011,2
33,33,2011,15.20074149,6.36668664,0.538676708,7.509014503,2/2/2011,2
34,34,2011,15.09058366,6.335990195,0.532561607,7.450994571,2/3/2011,2
35,35,2011,14.98048905,6.306139798,0.526458337,7.39302243,2/4/2011,2
36,36,2011,14.87046368,6.277191445,0.520367778,7.33510167,2/5/2011,2
37,37,2011,14.76051356,6.249201133,0.514290813,7.277235881,2/6/2011,2
38,38,2011,14.65064473,6.222224855,0.50822832,7.219428652,2/7/2011,2
39,39,2011,14.5408632,6.19631861,0.502181183,7.161683571,2/8/2011,2
40,40,2011,14.43117499,6.171538391,0.49615028,7.104004229,2/9/2011,2
41,41,2011,14.32158611,6.147940196,0.490136495,7.046394213,2/10/2011,2
42,42,2011,14.2121026,6.125580019,0.484140706,6.988857115,2/11/2011,2
43,43,2011,14.10273046,6.104513857,0.478163795,6.931396523,2/12/2011,2
44,44,2011,13.99347572,6.084797706,0.472206643,6.874016025,2/13/2011,2
45,45,2011,13.8843444,6.066487561,0.466270131,6.816719212,2/14/2011,2
46,46,2011,13.77534252,6.049639419,0.46035514,6.759509672,2/15/2011,2
47,47,2011,13.6664761,6.034309274,0.454462551,6.702390996,2/16/2011,2
48,48,2011,13.55775139,6.02055146,0.448593258,6.645366857,2/17/2011,2
49,49,2011,13.44917563,6.008413658,0.442748214,6.588441274,2/18/2011,2
50,50,2011,13.3407565,5.997941888,0.436928398,6.531618429,2/19/2011,2
51,51,2011,13.23250258,5.989182167,0.431134835,6.474902819,2/20/2011,2
52,52,2011,13.12442268,5.982180513,0.425368565,6.418299021,2/21/2011,2
53,53,2011,13.0165256,5.976980954,0.419630633,6.361811679,2/22/2011,2
54,54,2011,12.90882015,5.973619546,0.413922121,6.305445711,2/23/2011,2
55,55,2011,12.80131517,5.972130353,0.408244118,6.249206105,2/24/2011,2
56,56,2011,12.69401948,5.972547439,0.402597716,6.193097847,2/25/2011,2
57,57,2011,12.58694189,5.974904869,0.396984003,6.137125926,2/26/2011,2
58,58,2011,12.48009124,5.979234505,0.391404072,6.08129538,2/27/2011,2
59,59,2011,12.37347635,5.985559408,0.38585903,6.025611461,2/28/2011,2
60,60,2011,12.26710607,5.993900437,0.380349987,5.970079471,3/1/2011,3
61,61,2011,12.16098923,6.00427845,0.374878053,5.914704714,3/2/2011,3
62,62,2011,12.05513467,6.016714306,0.369444336,5.859492495,3/3/2011,3
63,63,2011,11.94955135,6.031226574,0.364049945,5.804448153,3/4/2011,3
64,64,2011,11.84424869,6.04782466,0.358695982,5.749577183,3/5/2011,3
65,65,2011,11.73923625,6.066515684,0.353383546,5.694885119,3/6/2011,3
66,66,2011,11.63452357,6.08730676,0.348113737,5.640377491,3/7/2011,3
67,67,2011,11.53012021,6.110205007,0.342887657,5.586059833,3/8/2011,3
68,68,2011,11.4260357,6.135217542,0.337706403,5.531937678,3/9/2011,3
69,69,2011,11.32227962,6.162351482,0.332571077,5.478016557,3/10/2011,3
70,70,2011,11.21886149,6.191613943,0.327482778,5.424302003,3/11/2011,3
71,71,2011,11.11579087,6.223012044,0.322442606,5.370799548,3/12/2011,3
72,72,2011,11.01307732,6.256552901,0.317451662,5.317514725,3/13/2011,3
73,73,2011,10.91073037,6.292243631,0.312511045,5.264453067,3/14/2011,3
74,74,2011,10.80875958,6.330091351,0.307621855,5.211620105,3/15/2011,3
75,75,2011,10.7071745,6.37010318,0.302785192,5.159021373,3/16/2011,3
76,76,2011,10.60598468,6.412286233,0.298002156,5.106662402,3/17/2011,3
77,77,2011,10.50519966,6.456645644,0.293273834,5.054548729,3/18/2011,3
78,78,2011,10.404829,6.503178613,0.288601259,5.002685906,3/19/2011,3
79,79,2011,10.30488225,6.551880356,0.283985451,4.951079487,3/20/2011,3
80,80,2011,10.20536895,6.602746089,0.27942743,4.899735029,3/21/2011,3
81,81,2011,10.10629866,6.655771026,0.274928216,4.848658086,3/22/2011,3
82,82,2011,10.00768092,6.710950385,0.270488829,4.797854215,3/23/2011,3
83,83,2011,9.909525283,6.76827773,0.266110289,4.747328969,3/24/2011,3
84,84,2011,9.811841299,6.827738435,0.261793597,4.697087895,3/25/2011,3
85,85,2011,9.714638482,6.889309875,0.257539684,4.647136498,3/26/2011,3
86,86,2011,9.617926347,6.952966387,0.253349443,4.597480256,3/27/2011,3
87,87,2011,9.521714402,7.0186765,0.24922369,4.548124594,3/28/2011,3
88,88,2011,9.426012133,7.086405984,0.2451632,4.499074906,3/29/2011,3
89,89,2011,9.330828923,7.156115367,0.241168669,4.450336516,3/30/2011,3
90,90,2011,9.236174136,7.227763873,0.237240773,4.40191473,3/31/2011,3
91,91,2011,9.142057095,7.301309635,0.233380163,4.35381483,4/1/2011,4
92,92,2011,9.048486974,7.376706452,0.229587406,4.306042012,4/2/2011,4
93,93,2011,8.955472908,7.453907033,0.225863046,4.258601447,4/3/2011,4
94,94,2011,8.863024035,7.532864089,0.222207625,4.211498306,4/4/2011,4
95,95,2011,8.771149489,7.613529557,0.218621688,4.164737761,4/5/2011,4
96,96,2011,8.679858408,7.695852282,0.215105778,4.118324984,4/6/2011,4
97,97,2011,8.589159927,7.779780334,0.211660439,4.072265145,4/7/2011,4
98,98,2011,8.499063183,7.865261784,0.208286215,4.026563417,4/8/2011,4
99,99,2011,8.409577312,7.952244702,0.204983649,3.98122497,4/9/2011,4
100,100,2011,8.320711449,8.040677159,0.201753285,3.936254977,4/10/2011,4
101,101,2011,8.232474732,8.130507226,0.198595667,3.89165861,4/11/2011,4
102,102,2011,8.144876296,8.221682972,0.195511338,3.847441038,4/12/2011,4
103,103,2011,8.057925277,8.314152318,0.192500841,3.803607435,4/13/2011,4
104,104,2011,7.971630812,8.407862578,0.189564722,3.760162972,4/14/2011,4
105,105,2011,7.886002037,8.502760913,0.186703523,3.717112819,4/15/2011,4
106,106,2011,7.801048088,8.598794488,0.183917788,3.674462149,4/16/2011,4
107,107,2011,7.716778007,8.695910601,0.181208032,3.632216089,4/17/2011,4
108,108,2011,7.633200459,8.794057095,0.178574663,3.590379588,4/18/2011,4
109,109,2011,7.550324014,8.893182219,0.176018028,3.548957505,4/19/2011,4
110,110,2011,7.468157231,8.99323563,0.173538365,3.507954511,4/20/2011,4
111,111,2011,7.386708666,9.094168585,0.171135883,3.467375231,4/21/2011,4
112,112,2011,7.305986877,9.195932674,0.168810792,3.42722429,4/22/2011,4
113,113,2011,7.226000422,9.298479486,0.166563301,3.387506313,4/23/2011,4
114,114,2011,7.146757853,9.401761173,0.164393589,3.348225874,4/24/2011,4
115,115,2011,7.068267715,9.505732138,0.162301721,3.309387339,4/25/2011,4
116,116,2011,6.99053855,9.610347346,0.160287734,3.270995021,4/26/2011,4
117,117,2011,6.913578898,9.715561763,0.158351662,3.233053234,4/27/2011,4
118,118,2011,6.837397301,9.821330353,0.156493542,3.195566294,4/28/2011,4
119,119,2011,6.762002299,9.927608083,0.15471341,3.158538514,4/29/2011,4
120,120,2011,6.687402306,10.03435075,0.15301127,3.121974151,4/30/2011,4
121,121,2011,6.61360523,10.14151746,0.151387014,3.085877233,5/1/2011,5
122,122,2011,6.540618848,10.24906818,0.149840499,3.050251731,5/2/2011,5
123,123,2011,6.468450939,10.35696283,0.148371587,3.015101616,5/3/2011,5
124,124,2011,6.397109282,10.46516138,0.146980136,2.980430858,5/4/2011,5
125,125,2011,6.326601655,10.57362377,0.145666006,2.946243428,5/5/2011,5
126,126,2011,6.256935839,10.68231093,0.144429056,2.912543298,5/6/2011,5
127,127,2011,6.188119611,10.79118781,0.143269147,2.879334437,5/7/2011,5
128,128,2011,6.120160749,10.90022033,0.142186138,2.846620817,5/8/2011,5
129,129,2011,6.053067034,11.00937441,0.141179888,2.814406409,5/9/2011,5
130,130,2011,5.986846244,11.11861598,0.140250257,2.782695183,5/10/2011,5
131,131,2011,5.921506157,11.22791097,0.139397104,2.75149111,5/11/2011,5
132,132,2011,5.857054553,11.33722531,0.13862029,2.720798161,5/12/2011,5
133,133,2011,5.79349921,11.44652493,0.137919674,2.690620306,5/13/2011,5
134,134,2011,5.730847906,11.55577574,0.137295115,2.660961517,5/14/2011,5
135,135,2011,5.669108422,11.66494368,0.136746474,2.631825765,5/15/2011,5
136,136,2011,5.608288535,11.77399468,0.136273609,2.603217019,5/16/2011,5
137,137,2011,5.548396025,11.88289466,0.13587638,2.575139252,5/17/2011,5
138,138,2011,5.489438669,11.99160954,0.135554648,2.547596433,5/18/2011,5
139,139,2011,5.431424088,12.10010628,0.135308243,2.520592464,5/19/2011,5
140,140,2011,5.374359265,12.20835587,0.135136889,2.494130967,5/20/2011,5
141,141,2011,5.318251021,12.3163303,0.13504028,2.468215495,5/21/2011,5
142,142,2011,5.26310618,12.4240016,0.135018112,2.4428496,5/22/2011,5
143,143,2011,5.208931565,12.53134178,0.135070079,2.418036836,5/23/2011,5
144,144,2011,5.155733834,12.63832374,0.135195851,2.393780682,5/24/2011,5
145,145,2011,5.103518982,12.74492403,0.135394991,2.370084332,5/25/2011,5
146,146,2011,5.052292841,12.85112009,0.135667037,2.346950905,5/26/2011,5
147,147,2011,5.002061073,12.95689018,0.136011503,2.324383451,5/27/2011,5
148,148,2011,4.952828495,13.0622166,0.136427774,2.302384649,5/28/2011,5
149,149,2011,4.904599079,13.1670856,0.136915113,2.280956813,5/29/2011,5
150,150,2011,4.857376624,13.2714842,0.137472756,2.260102183,5/30/2011,5
151,151,2011,4.811164934,13.37539941,0.138099939,2.239823,5/31/2011,5
152,152,2011,4.765967808,13.47881827,0.1387959,2.220121502,6/1/2011,6
153,153,2011,4.721789047,13.58172779,0.139559875,2.200999931,6/2/2011,6
154,154,2011,4.678632454,13.68411499,0.1403911,2.182460525,6/3/2011,6
155,155,2011,4.636501828,13.78596689,0.141288813,2.164505525,6/4/2011,6
156,156,2011,4.595400971,13.88727053,0.142252249,2.14713717,6/5/2011,6
157,157,2011,4.555333683,13.98801291,0.143280646,2.130357701,6/6/2011,6
158,158,2011,4.516303767,14.08818107,0.14437324,2.114169358,6/7/2011,6
159,159,2011,4.478315023,14.18776233,0.145529268,2.09857438,6/8/2011,6
160,160,2011,4.441371252,14.28674532,0.146747966,2.083575007,6/9/2011,6
161,161,2011,4.405476255,14.38511896,0.148028572,2.069173479,6/10/2011,6
162,162,2011,4.370633834,14.48287219,0.149370321,2.055372037,6/11/2011,6
163,163,2011,4.336847789,14.57999392,0.15077245,2.04217292,6/12/2011,6
164,164,2011,4.304121921,14.67647309,0.152234196,2.029578368,6/13/2011,6
165,165,2011,4.272460032,14.77229862,0.153754796,2.017590621,6/14/2011,6
166,166,2011,4.241865922,14.86745946,0.155333486,2.006211918,6/15/2011,6
167,167,2011,4.212343209,14.96194446,0.156969486,1.995444422,6/16/2011,6
168,168,2011,4.183894772,15.05574231,0.158661946,1.985289978,6/17/2011,6
169,169,2011,4.156523309,15.1488416,0.16041,1.975750355,6/18/2011,6
170,170,2011,4.130231514,15.24123096,0.162212783,1.96682732,6/19/2011,6
171,171,2011,4.105022083,15.33289899,0.164069427,1.958522641,6/20/2011,6
172,172,2011,4.080897714,15.42383405,0.165979052,1.950838007,6/21/2011,6
173,173,2011,4.057860914,15.51402312,0.167940704,1.943774708,6/22/2011,6
174,174,2011,4.035913445,15.6034517,0.169953358,1.937333638,6/23/2011,6
175,175,2011,4.01505688,15.69210502,0.172015975,1.931515611,6/24/2011,6
176,176,2011,3.995292603,15.77996788,0.174127501,1.92632136,6/25/2011,6
177,177,2011,3.976621248,15.86702342,0.176286836,1.9217513,6/26/2011,6
178,178,2011,3.959043259,15.9532544,0.178492865,1.917805765,6/27/2011,6
179,179,2011,3.942559078,16.03864358,0.180744471,1.91448509,6/28/2011,6
180,180,2011,3.92716915,16.1231737,0.183040541,1.911789609,6/29/2011,6
181,181,2011,3.912873919,16.20682752,0.18537996,1.909719656,6/30/2011,6
182,182,2011,3.899673828,16.28958779,0.187761612,1.908275566,7/1/2011,7
183,183,2011,3.887569322,16.37143665,0.190184383,1.907457673,7/2/2011,7
184,184,2011,3.876560844,16.4523539,0.192647157,1.907266311,7/3/2011,7
185,185,2011,3.866648839,16.53231871,0.19514882,1.907701815,7/4/2011,7
186,186,2011,3.857833749,16.61131025,0.197688256,1.90876452,7/5/2011,7
187,187,2011,3.850116019,16.68930773,0.200264352,1.910454759,7/6/2011,7
188,188,2011,3.843496093,16.7662903,0.202875991,1.912772867,7/7/2011,7
189,189,2011,3.837974415,16.84223716,0.205522059,1.915719178,7/8/2011,7
190,190,2011,3.833551427,16.91712749,0.208201442,1.919294027,7/9/2011,7
191,191,2011,3.830227575,16.99094047,0.210913023,1.923497748,7/10/2011,7
192,192,2011,3.828003303,17.06365528,0.213655688,1.928330676,7/11/2011,7
193,193,2011,3.826879053,17.1352511,0.216428323,1.933793144,7/12/2011,7
194,194,2011,3.82685527,17.20570712,0.219229811,1.939885488,7/13/2011,7
195,195,2011,3.827932398,17.27500251,0.222059039,1.946608041,7/14/2011,7
196,196,2011,3.83011088,17.34311646,0.224914892,1.953961138,7/15/2011,7
197,197,2011,3.833391161,17.41002751,0.227796253,1.961945114,7/16/2011,7
198,198,2011,3.837773684,17.47571166,0.230702009,1.970560302,7/17/2011,7
199,199,2011,3.843258893,17.54014427,0.233631045,1.979807038,7/18/2011,7
200,200,2011,3.849847228,17.60330013,0.236582246,1.989685575,7/19/2011,7
201,201,2011,3.857539112,17.6651517,0.239554499,2.000195847,7/20/2011,7
202,202,2011,3.866334965,17.72567085,0.242546693,2.011337708,7/21/2011,7
203,203,2011,3.876235206,17.78482945,0.245557716,2.023111012,7/22/2011,7
204,204,2011,3.887240255,17.84259892,0.248586455,2.035515613,7/23/2011,7
205,205,2011,3.89935034,17.89894835,0.251631803,2.048551285,7/24/2011,7
206,206,2011,3.912564729,17.95384419,0.254692666,2.062217404,7/25/2011,7
207,207,2011,3.926881733,18.0072509,0.257767971,2.076512948,7/26/2011,7
208,208,2011,3.942299281,18.05913217,0.26085665,2.091436739,7/27/2011,7
209,209,2011,3.958814536,18.10945045,0.263957657,2.106987279,7/28/2011,7
210,210,2011,3.976424469,18.15816784,0.26706995,2.123162992,7/29/2011,7
211,211,2011,3.995126051,18.20524646,0.270192486,2.139962302,7/30/2011,7
212,212,2011,4.014916256,18.25064842,0.273324222,2.157383633,7/31/2011,7
213,213,2011,4.035792053,18.29433584,0.276464117,2.175425408,8/1/2011,8
214,214,2011,4.057750416,18.33627081,0.279611127,2.194086052,8/2/2011,8
215,215,2011,4.080788315,18.37641548,0.28276421,2.213363989,8/3/2011,8
216,216,2011,4.104902723,18.41473206,0.285922324,2.233257642,8/4/2011,8
217,217,2011,4.13009061,18.4511829,0.289084426,2.253765436,8/5/2011,8
218,218,2011,4.156348949,18.48573086,0.292249474,2.274885794,8/6/2011,8
219,219,2011,4.183674712,18.51833895,0.295416425,2.29661714,8/7/2011,8
220,220,2011,4.21206487,18.54897018,0.298584237,2.318957898,8/8/2011,8
221,221,2011,4.241516394,18.57758752,0.301751868,2.341906493,8/9/2011,8
222,222,2011,4.272026257,18.604154,0.304918274,2.365461347,8/10/2011,8
223,223,2011,4.30359143,18.62863259,0.308082414,2.389620885,8/11/2011,8
224,224,2011,4.336208885,18.65098632,0.311243246,2.414383531,8/12/2011,8
225,225,2011,4.369875593,18.67117816,0.314399725,2.439747709,8/13/2011,8
226,226,2011,4.404588526,18.68917112,0.317550811,2.465711843,8/14/2011,8
227,227,2011,4.440344657,18.70492821,0.320695461,2.492274356,8/15/2011,8
228,228,2011,4.477140955,18.71841241,0.323832632,2.519433672,8/16/2011,8
229,229,2011,4.514974391,18.72958754,0.326961296,2.547188141,8/17/2011,8
230,230,2011,4.553841915,18.73842065,0.330080481,2.575535815,8/18/2011,8
231,231,2011,4.593740295,18.7448805,0.333189245,2.604474596,8/19/2011,8
232,232,2011,4.63466557,18.74893953,0.336286704,2.634002093,8/20/2011,8
233,233,2011,4.676613598,18.75057107,0.33937199,2.664115839,8/21/2011,8
234,234,2011,4.719580055,18.74974955,0.34244425,2.694813295,8/22/2011,8
235,235,2011,4.763559899,18.7464536,0.345502696,2.726091632,8/23/2011,8
236,236,2011,4.808547908,18.74066293,0.348546555,2.757947947,8/24/2011,8
237,237,2011,4.854538684,18.73235845,0.351575069,2.790379266,8/25/2011,8
238,238,2011,4.901526115,18.72152582,0.35458755,2.823382329,8/26/2011,8
239,239,2011,4.949503917,18.70815188,0.357583326,2.856953804,8/27/2011,8
240,240,2011,4.998465625,18.69222478,0.360561742,2.891090288,8/28/2011,8
241,241,2011,5.04840408,18.67373787,0.363522214,2.925788098,8/29/2011,8
242,242,2011,5.09931194,18.65268714,0.366464193,2.961043411,8/30/2011,8
243,243,2011,5.151181853,18.62907401,0.369387203,2.996852126,8/31/2011,8
244,244,2011,5.20400646,18.60290128,0.372290786,3.033210074,9/1/2011,9
245,245,2011,5.257778404,18.57417171,0.375174485,3.070113083,9/2/2011,9
246,246,2011,5.312490326,18.54288955,0.378037842,3.107556984,9/3/2011,9
247,247,2011,5.36813487,18.50906478,0.380880398,3.145537607,9/4/2011,9
248,248,2011,5.424704677,18.47271031,0.383701696,3.184050782,9/5/2011,9
249,249,2011,5.48219239,18.43384489,0.386501278,3.223092339,9/6/2011,9
250,250,2011,5.540590651,18.39249024,0.389278687,3.262658107,9/7/2011,9
251,251,2011,5.599892103,18.34867398,0.392033463,3.302743918,9/8/2011,9
252,252,2011,5.660089387,18.3024252,0.39476515,3.3433456,9/9/2011,9
253,253,2011,5.721175146,18.253773,0.397473289,3.384458983,9/10/2011,9
254,254,2011,5.783142023,18.20274648,0.400157423,3.426079898,9/11/2011,9
255,255,2011,5.845982659,18.14937473,0.402817094,3.468204175,9/12/2011,9
256,256,2011,5.909689697,18.09368685,0.405451844,3.510827643,9/13/2011,9
257,257,2011,5.97425578,18.03571194,0.408061214,3.553946132,9/14/2011,9
258,258,2011,6.039673548,17.9754791,0.410644748,3.597555473,9/15/2011,9
259,259,2011,6.105935646,17.91301742,0.413201986,3.641651495,9/16/2011,9
260,260,2011,6.173034715,17.848356,0.415732472,3.686230029,9/17/2011,9
261,261,2011,6.240963398,17.78152394,0.418235748,3.731286903,9/18/2011,9
262,262,2011,6.309714333,17.71255163,0.420711376,3.776817892,9/19/2011,9
263,263,2011,6.379280148,17.64147467,0.423159001,3.822818541,9/20/2011,9
264,264,2011,6.449653469,17.56833115,0.42557831,3.869284283,9/21/2011,9
265,265,2011,6.520826919,17.49316413,0.427969072,3.916210332,9/22/2011,9
266,266,2011,6.592793123,17.41601785,0.430331075,3.963591846,9/23/2011,9
267,267,2011,6.665544706,17.33693657,0.43266411,4.011423981,9/24/2011,9
268,268,2011,6.739074293,17.25596457,0.434967966,4.059701895,9/25/2011,9
269,269,2011,6.813374375,17.1731471,0.437242452,4.108420696,9/26/2011,9
270,270,2011,6.88843679,17.08853351,0.43948748,4.157575238,9/27/2011,9
271,271,2011,6.96425272,17.00217413,0.441703064,4.207160125,9/28/2011,9
272,272,2011,7.040813222,16.9141193,0.443889236,4.257169914,9/29/2011,9
273,273,2011,7.118109227,16.82441937,0.44604605,4.307599112,9/30/2011,9
274,274,2011,7.196131178,16.73312468,0.448173638,4.358442041,10/1/2011,10
275,275,2011,7.274869393,16.64028557,0.450272155,4.409692976,10/2/2011,10
276,276,2011,7.35431419,16.54595239,0.452341753,4.461346192,10/3/2011,10
277,277,2011,7.434455889,16.45017547,0.454382585,4.513395964,10/4/2011,10
278,278,2011,7.515284807,16.35300517,0.456394804,4.565836567,10/5/2011,10
279,279,2011,7.596791264,16.25449181,0.458378563,4.618662276,10/6/2011,10
280,280,2011,7.678965579,16.15468575,0.460334016,4.671867367,10/7/2011,10
281,281,2011,7.761798069,16.05363733,0.462261316,4.725446114,10/8/2011,10
282,282,2011,7.845279055,15.95139689,0.464160615,4.779392792,10/9/2011,10
283,283,2011,7.929398853,15.84801477,0.466032067,4.833701676,10/10/2011,10
284,284,2011,8.014147784,15.74354131,0.467875825,4.888367042,10/11/2011,10
285,285,2011,8.099516165,15.63802686,0.469692041,4.943383164,10/12/2011,10
286,286,2011,8.185494316,15.53152176,0.47148087,4.998744318,10/13/2011,10
287,287,2011,8.272072555,15.42407635,0.473242464,5.054444778,10/14/2011,10
288,288,2011,8.359241201,15.31574098,0.474976976,5.110478819,10/15/2011,10
289,289,2011,8.446990573,15.20656578,0.476684559,5.166840717,10/16/2011,10
290,290,2011,8.535310988,15.09660008,0.478365366,5.223524746,10/17/2011,10
291,291,2011,8.624192765,14.98589267,0.480019567,5.280525159,10/18/2011,10
292,292,2011,8.713626216,14.87449063,0.481647394,5.337836114,10/19/2011,10
293,293,2011,8.803601652,14.76243912,0.483249095,5.395451747,10/20/2011,10
294,294,2011,8.894109384,14.64978291,0.484824918,5.453366194,10/21/2011,10
295,295,2011,8.985139721,14.53656676,0.486375111,5.51157359,10/22/2011,10
296,296,2011,9.076682977,14.42283545,0.487899923,5.570068072,10/23/2011,10
297,297,2011,9.168729415,14.30863305,0.489399616,5.628843762,10/24/2011,10
298,298,2011,9.261269125,14.19400084,0.490874507,5.68789473,10/25/2011,10
299,299,2011,9.354292148,14.07897942,0.492324926,5.747215034,10/26/2011,10
300,300,2011,9.447788528,13.96360939,0.493751203,5.806798731,10/27/2011,10
301,301,2011,9.541748279,13.84793042,0.495153683,5.866639873,10/28/2011,10
302,302,2011,9.636161286,13.7319776,0.496532766,5.926732485,10/29/2011,10
303,303,2011,9.731017317,13.61578124,0.497888916,5.987070573,10/30/2011,10
304,304,2011,9.826306116,13.49937069,0.499222605,6.04764814,10/31/2011,10
305,305,2011,9.922017428,13.38277533,0.500534307,6.108459187,11/1/2011,11
306,306,2011,10.018141,13.2660245,0.501824495,6.169497716,11/2/2011,11
307,307,2011,10.11466657,13.14914756,0.503093643,6.23075773,11/3/2011,11
308,308,2011,10.21158389,13.03217387,0.504342224,6.292233231,11/4/2011,11
309,309,2011,10.3088827,12.91513279,0.505570711,6.35391822,11/5/2011,11
310,310,2011,10.40655275,12.79805367,0.506779578,6.415806701,11/6/2011,11
311,311,2011,10.50458378,12.68096588,0.507969297,6.477892674,11/7/2011,11
312,312,2011,10.60296554,12.56389878,0.509140344,6.540170142,11/8/2011,11
313,313,2011,10.70168777,12.44688171,0.51029319,6.602633108,11/9/2011,11
314,314,2011,10.80074022,12.32994404,0.511428309,6.665275573,11/10/2011,11
315,315,2011,10.90011262,12.21311512,0.512546175,6.728091539,11/11/2011,11
316,316,2011,10.99979473,12.09642432,0.513647261,6.791075009,11/12/2011,11
317,317,2011,11.0997763,11.97990099,0.51473204,6.854219984,11/13/2011,11
318,318,2011,11.20004706,11.86357448,0.515800986,6.917520467,11/14/2011,11
319,319,2011,11.30059675,11.74747417,0.516854572,6.980970459,11/15/2011,11
320,320,2011,11.40141514,11.6316294,0.517893271,7.044563964,11/16/2011,11
321,321,2011,11.50249195,11.51606953,0.518917557,7.108294982,11/17/2011,11
322,322,2011,11.60381694,11.40082249,0.519927905,7.172157562,11/18/2011,11
323,323,2011,11.70537996,11.28590911,0.520924796,7.236145978,11/19/2011,11
324,324,2011,11.80717127,11.17134311,0.521908717,7.300254742,11/20/2011,11
325,325,2011,11.90918121,11.05713679,0.522880156,7.364478413,11/21/2011,11
326,326,2011,12.01140014,10.94330248,0.523839601,7.428811609,11/22/2011,11
327,327,2011,12.11381842,10.82985247,0.524787533,7.493249175,11/23/2011,11
328,328,2011,12.21642657,10.71679778,0.525724435,7.557786077,11/24/2011,11
329,329,2011,12.31921577,10.60414287,0.526650775,7.6224176,11/25/2011,11
330,330,2011,12.42217807,10.49188452,0.527567007,7.687139431,11/26/2011,11
331,331,2011,12.52530628,10.38001327,0.528473569,7.751947602,11/27/2011,11
332,332,2011,12.62859334,10.26851839,0.529370896,7.816838217,11/28/2011,11
333,333,2011,12.73203221,10.15738916,0.530259421,7.881807378,11/29/2011,11
334,334,2011,12.83561585,10.04661487,0.531139579,7.946851189,11/30/2011,11
335,335,2011,12.93933721,9.93618379,0.532011805,8.011965752,12/1/2011,12
336,336,2011,13.04318924,9.826080153,0.532876533,8.077147171,12/2/2011,12
337,337,2011,13.14716489,9.716287182,0.533734197,8.142391547,12/3/2011,12
338,338,2011,13.25125712,9.606788102,0.534585233,8.207694985,12/4/2011,12
339,339,2011,13.35545889,9.497566138,0.535430074,8.273053587,12/5/2011,12
340,340,2011,13.45976313,9.388604513,0.536269154,8.338463455,12/6/2011,12
341,341,2011,13.56416281,9.279886452,0.537102909,8.403920694,12/7/2011,12
342,342,2011,13.66865089,9.171395179,0.537931773,8.469421405,12/8/2011,12
343,343,2011,13.7732203,9.063113918,0.53875618,8.534961692,12/9/2011,12
344,344,2011,13.87786402,8.955025893,0.539576564,8.600537658,12/10/2011,12
345,345,2011,13.98257498,8.847114328,0.540393361,8.666145405,12/11/2011,12
346,346,2011,14.08734615,8.739362449,0.541207004,8.731781037,12/12/2011,12
347,347,2011,14.19217047,8.631753478,0.542017928,8.797440656,12/13/2011,12
348,348,2011,14.29704092,8.524270641,0.542826553,8.863120505,12/14/2011,12
